EXPRESSION;FITNESS;TIME (Milliseconds);
PRPS2 = ((cosine ((cosine seq362_FHL3(t - 1)) - (seq295_HADH2(t - 1) + seq120_MIZF(t - 1)))) / ((cosine (seq522_C12orf45(t - 1) - seq640_FLJ39827(t - 1))) - (((seq477_MOBKL2A(t - 1) * seq155_DOLPP1(t - 1)) - (seq295_HADH2(t - 1) + seq120_MIZF(t - 1))) / seq362_FHL3(t - 1)))) + seq362_FHL3(t - 1);0,98;2265
IQWD1 = seq317_CTSC(t - 1) / (cosine ((cosine ((log (log seq663_BCL11A(t - 1))) * ((sine seq224_CCDC106(t - 1)) - (seq627_TTC39C(t - 1) / seq1062_YIPF1(t - 1))))) * ((sine seq224_CCDC106(t - 1)) - (seq317_CTSC(t - 1) / seq1062_YIPF1(t - 1)))));0,88;2022
OMA1 = (((seq1005_SNTB2(t - 1) / seq696_TRAFD1(t - 1)) / seq455_VAV1(t - 1)) / (seq952_ARL6IP6(t - 1) / (((((seq952_ARL6IP6(t - 1) / seq696_TRAFD1(t - 1)) / seq455_VAV1(t - 1)) / seq696_TRAFD1(t - 1)) / seq455_VAV1(t - 1)) + seq1005_SNTB2(t - 1)))) + seq1005_SNTB2(t - 1);0,74;2063
GMCL1 = seq590_MAST3(t - 1);1,59;2028
DOLPP1 = seq956_XPR1(t - 1);1,35;2026
PTPRC = seq551_CYSLTR1(t - 1);1,98;2206
SNX5 = seq977_RUNX1(t - 1);2,17;2075
SF3B1 = seq196_CASP4(t - 1);1,45;2057
TRIM21 = seq145_GMCL1(t - 1);2,06;2018
CASP4 = seq196_CASP4(t - 1);1,71;2025
CCDC106 = seq638_CUL1(t - 1) - ((sine seq638_CUL1(t - 1)) / (((cosine seq638_CUL1(t - 1)) + ((seq537_EXOC2(t - 1) * seq585_CISH(t - 1)) * (sine seq711_VWCE(t - 1)))) + (((seq1135_FVT1(t - 1) * seq619_IFI35(t - 1)) / (seq1133_FAM50B(t - 1) / seq1069_GRAMD3(t - 1))) * ((seq346_TATDN1(t - 1) - seq812_ARHGAP25(t - 1)) + (seq32_TIAM1(t - 1) - seq812_ARHGAP25(t - 1))))));1,51;2041
STAMBPL1 = seq317_CTSC(t - 1);1,51;2035
ITGAE = seq952_ARL6IP6(t - 1);2,15;1995
TELO2 = seq663_BCL11A(t - 1);1,82;1993
INSIG1 = seq655_C12orf4(t - 1);1,14;2003
MRPS23 = seq1162_CARD8(t - 1);1,36;2007
MAP6D1 = seq817_CDC2L5(t - 1);2,23;2012
NUBP1 = seq1273_MGAT2(t - 1);1,11;2052
TM7SF2 = seq784_AGK(t - 1) + (((log seq191_TRIM21(t - 1)) / ((seq784_AGK(t - 1) + (((log seq191_TRIM21(t - 1)) / (log seq191_TRIM21(t - 1))) * ((seq562_PMEPA1(t - 1) / (seq784_AGK(t - 1) + (seq784_AGK(t - 1) * ((seq562_PMEPA1(t - 1) / (seq784_AGK(t - 1) + (((((log seq191_TRIM21(t - 1)) / seq1195_ECOP(t - 1)) + ((((log (log seq191_TRIM21(t - 1))) / (seq140_OMA1(t - 1) * seq767_JAM3(t - 1))) / (seq690_GNG10(t - 1) * seq767_JAM3(t - 1))) * ((log seq191_TRIM21(t - 1)) / ((seq784_AGK(t - 1) + (cosine seq227_STAMBPL1(t - 1))) * seq767_JAM3(t - 1))))) / (seq140_OMA1(t - 1) * seq767_JAM3(t - 1))) * ((seq562_PMEPA1(t - 1) / seq1195_ECOP(t - 1)) / (cosine seq227_STAMBPL1(t - 1)))))) / (cosine seq227_STAMBPL1(t - 1)))))) / (cosine seq227_STAMBPL1(t - 1))))) * seq767_JAM3(t - 1))) * ((seq562_PMEPA1(t - 1) / seq1195_ECOP(t - 1)) / (cosine seq784_AGK(t - 1))));1,53;2085
WDR19 = seq95_BRWD2(t - 1);1,34;2010
PRDM4 = log (((log (log (seq637_CD28(t - 1) * seq767_JAM3(t - 1)))) * (((sine ((log (((log (log (seq637_CD28(t - 1) * seq767_JAM3(t - 1)))) * (((seq627_TTC39C(t - 1) / seq73_PRPF40A(t - 1)) + (seq245_TELO2(t - 1) + seq477_MOBKL2A(t - 1))) * ((seq663_BCL11A(t - 1) * seq1273_MGAT2(t - 1)) * (log seq273_NUBP1(t - 1))))) - (log seq499_SEC31A(t - 1)))) * (seq61_BRPF3(t - 1) - seq1287_LGALS8(t - 1)))) + (seq1287_LGALS8(t - 1) + seq477_MOBKL2A(t - 1))) * ((seq663_BCL11A(t - 1) * seq627_TTC39C(t - 1)) * (log seq273_NUBP1(t - 1))))) - (log (((log (log (seq637_CD28(t - 1) * seq767_JAM3(t - 1)))) * (((((log seq1239_ADARB1(t - 1)) * (log seq499_SEC31A(t - 1))) / seq73_PRPF40A(t - 1)) + (seq245_TELO2(t - 1) + seq477_MOBKL2A(t - 1))) * ((seq663_BCL11A(t - 1) * seq627_TTC39C(t - 1)) * (log seq273_NUBP1(t - 1))))) - ((sine ((log (((log (log (seq637_CD28(t - 1) * seq767_JAM3(t - 1)))) * ((seq663_BCL11A(t - 1) * seq1273_MGAT2(t - 1)) * ((log (((log (log (seq637_CD28(t - 1) * seq767_JAM3(t - 1)))) * (((seq627_TTC39C(t - 1) / seq73_PRPF40A(t - 1)) + (seq1287_LGALS8(t - 1) + seq477_MOBKL2A(t - 1))) * ((seq663_BCL11A(t - 1) * seq627_TTC39C(t - 1)) * (log seq273_NUBP1(t - 1))))) - ((cosine (log (seq637_CD28(t - 1) * seq767_JAM3(t - 1)))) + (cosine (sine (log seq499_SEC31A(t - 1))))))) + (seq1287_LGALS8(t - 1) + seq477_MOBKL2A(t - 1))))) - ((sine ((seq663_BCL11A(t - 1) * seq1273_MGAT2(t - 1)) * (log seq273_NUBP1(t - 1)))) + (cosine (sine (log seq499_SEC31A(t - 1))))))) * (seq61_BRPF3(t - 1) - seq1287_LGALS8(t - 1)))) + (log (log (seq637_CD28(t - 1) * seq767_JAM3(t - 1))))))));1,16;2236
HADH2 = seq522_C12orf45(t - 1);1,48;2063
LOC728006 = seq1070_EXOC2(t - 1);1,23;2055
NSMCE2 = seq295_HADH2(t - 1);1,3;1999
GNG8 = seq352_SEC11C(t - 1);2,37;2041
PUS3 = seq273_NUBP1(t - 1);2,1;2081
CTSL1 = seq748_ENO2(t - 1);1,76;2028
CTSC = (sine (sine seq755_DEF8(t - 1))) + seq1005_SNTB2(t - 1);1,46;2096
CTSB = log (((seq1229_SLC37A3(t - 1) * seq1126_LYPLAL1(t - 1)) + seq590_MAST3(t - 1)) + (((sine seq266_MAP6D1(t - 1)) - (cosine seq354_GNG5(t - 1))) + ((seq354_GNG5(t - 1) * seq1126_LYPLAL1(t - 1)) * (seq796_SOCS1(t - 1) * seq975_TNFSF10(t - 1)))));0,79;2106
TGFBRAP1 = seq1229_SLC37A3(t - 1);1,6;2043
TIAM1 = seq1146_TNIP2(t - 1);2,47;2010
ASXL2 = seq556_LOC348262(t - 1);2,33;1978
TATDN1 = seq155_DOLPP1(t - 1) + (((cosine seq1333_EPSTI1(t - 1)) - (cosine (seq155_DOLPP1(t - 1) + (((cosine seq1333_EPSTI1(t - 1)) - (cosine seq1065_CD99(t - 1))) / seq155_DOLPP1(t - 1))))) / ((((seq78_RDH13(t - 1) - seq718_GIT2(t - 1)) - (((cosine seq1333_EPSTI1(t - 1)) - (cosine seq1065_CD99(t - 1))) / ((seq155_DOLPP1(t - 1) + (((cosine seq1333_EPSTI1(t - 1)) - (cosine seq1065_CD99(t - 1))) / seq155_DOLPP1(t - 1))) / (seq78_RDH13(t - 1) - seq718_GIT2(t - 1))))) + 6.0) / (seq155_DOLPP1(t - 1) - seq718_GIT2(t - 1))));1,27;2071
SEC11C = seq32_TIAM1(t - 1);2,14;2014
IFIT3 = seq1280_BPGM(t - 1);4,88;2043
GNG5 = seq880_C1orf122(t - 1);2,05;2066
FHL3 = seq297_LOC728006(t - 1);1,07;2042
LOC339344 = log (((seq578_UGCG(t - 1) - seq95_BRWD2(t - 1)) + (seq1201_CTSC(t - 1) * seq430_PHF19(t - 1))) * ((seq578_UGCG(t - 1) - seq95_BRWD2(t - 1)) + ((seq578_UGCG(t - 1) - seq95_BRWD2(t - 1)) + (seq1201_CTSC(t - 1) * seq430_PHF19(t - 1)))));0,98;2053
ACSL5 = (((seq378_ACSL5(t - 1) * (log seq480_ARD1A(t - 1))) / (seq378_ACSL5(t - 1) * (seq561_TCEAL3(t - 1) * seq1002_BCAS4(t - 1)))) * (cosine ((sine seq796_SOCS1(t - 1)) - (cosine seq1133_FAM50B(t - 1))))) + seq378_ACSL5(t - 1);1,76;2056
LIG1 = seq139_IQWD1(t - 1);2,26;2030
SLC41A1 = log ((((sine seq663_BCL11A(t - 1)) - ((log seq7_LRRC58(t - 1)) + ((seq973_NFATC3(t - 1) - seq58_KLRG1(t - 1)) + (seq1326_WDR7(t - 1) + seq748_ENO2(t - 1))))) + ((log seq353_IFIT3(t - 1)) * (seq905_FURIN(t - 1) * seq124_ZDHHC18(t - 1)))) * (((log seq713_ACVR1(t - 1)) * (log seq353_IFIT3(t - 1))) + ((seq973_NFATC3(t - 1) - seq58_KLRG1(t - 1)) + (seq1326_WDR7(t - 1) + seq748_ENO2(t - 1)))));1,47;2144
SSBP2 = seq171_SF3B1(t - 1);1,12;2001
PHF19 = seq1162_CARD8(t - 1);1,98;2039
LSS = seq295_HADH2(t - 1);1,94;2042
VAV1 = seq124_ZDHHC18(t - 1);2,66;2025
SETDB1 = (((((seq291_PRDM4(t - 1) + 0.01) + 0.01) + 0.01) + 0.01) + 0.01) + 0.01;1,6;2041
MAF = (seq279_TM7SF2(t - 1) * seq952_ARL6IP6(t - 1)) / seq537_EXOC2(t - 1);2,98;2045
MOBKL2A = 5.0;0,91;1989
MOBKL2A = 8.0;0,91;2016
MOBKL2A = 6.0;0,91;2009
MOBKL2A = 3.0;0,91;1995
ARD1A = seq121_SLC25A15(t - 1);1,15;1966
NLRX1 = seq956_XPR1(t - 1);1,75;2022
RFC4 = seq494_RFC4(t - 1);2,98;2049
SEC31A = seq663_BCL11A(t - 1);1,44;2203
C12orf45 = seq748_ENO2(t - 1);1,67;2005
MED16 = 8.0;1,19;2031
MED16 = 5.0;1,19;2037
MED16 = 6.0;1,19;2080
EXOC2 = seq1022_FAM20B(t - 1);1,53;2056
CYSLTR1 = seq1007_FSCN1(t - 1);2,45;2036
LOC348262 = (((seq322_TGFBRAP1(t - 1) + seq627_TTC39C(t - 1)) / (log seq589_SNX4(t - 1))) - (sine (seq956_XPR1(t - 1) + seq593_TMEM70(t - 1)))) + (((cosine seq121_SLC25A15(t - 1)) + (seq561_TCEAL3(t - 1) / (seq956_XPR1(t - 1) + seq593_TMEM70(t - 1)))) * ((sine seq663_BCL11A(t - 1)) * (seq256_INSIG1(t - 1) - seq818_BRE(t - 1))));1,88;2044
TCEAL3 = seq78_RDH13(t - 1);1,69;2026
PMEPA1 = seq191_TRIM21(t - 1);4,49;2028
UGCG = seq828_RIPK5(t - 1);2,05;2008
