SPON1;SGPL1;FAM184A;IL16;GBP1;
CD84;CDC42SE1;FES;
CCBL2;LCK;
NARFL;SPIN1;ELL2;ZNF444;PAFAH2;
ELL2;ITIH4;NLRP2;PSMB8;
PAFAH2;FES;
SSH1;ELK4;ABCC1;FES;GATA3;
PARP11;GIT2;MAPK11;FES;OPA3;NLRP2;
ALDH6A1;PGBD1;TRIM39;DHX58;
CAMSAP1L1;ITIH4;BMPR2;PVT1;
FES;ITIH4;TMBIM1;SPIN1;
MAFF;TNFAIP8L1;GPR81;PSMB8;
TNFSF8;LINS1;
GRAP;TRIM39;C14orf72;PYHIN1;ZNF831;GBP1;IFIT3;
XAF1;RCSD1;LINS1;
CNIH2;ITIH4;SNX29;C2CD2;
DDR1;CDC42SE1;
COL18A1;C2CD2;
BMPR2;NFATC3;SOLH;
C2CD2;MUC1;FES;NCALD;DACT1;
TNFAIP1;BMPR2;
CASP9;CASP9;GRK6;ZNF821;RCSD1;
AKAP13;ITIH4;NIN;SNX29;IL16;SAMD3;
MRPL2;SNX29;IIP45;CCBL2;PCGF1;ZNF831;RBCK1;
CASP7;GBP5;CASP7;RNASEL;RP2;ZNF318;TNFAIP1;GBP1;SIRT1;NRBP1;
DUSP10;DUSP10;DACH1;ZC3HAV1;
SMPD1;ITIH4;REC8;
IIP45;SPIN1;
OPA3;GIT1;
CASP1;DACH1;ZNF831;TNIK;SAMD3;
TNFAIP8L1;SPON1;CAMSAP1L1;LAMP3;ST8SIA4;RAB27A;NFATC1;LCP2;RCSD1;
SPIN1;N4BP2;
FLVCR2;ITIH4;
GIT1;CCND1;
DACT1;ITIH4;TNFAIP8L1;SPIN1;
ABCC1;ITIH4;SNX29;ELF2;NLRP2;
PLLP;TRIM39;SESN3;PNPLA8;GRAP;ELL2;PML;
IL16;GBP5;RCSD1;SOLH;
SIRT1;SNX29;TRIM39;TMBIM1;CCBL2;NMI;UBR1;REC8;SOLH;
ZDHHC14;NLRP2;PPP4R1L;
HSH2D;DHX58;RAB27A;
ELF2;DACH1;CCNYL1;GPR81;LONRF1;
RP2;SSH1;
LCK;BMPR2;
TMBIM1;ITIH4;TNFAIP8L1;NFATC3;REC8;
RASA2;GIT2;NFATC3;CCM2;
IRF7;SNX29;SPIN1;IL16;
RBMS1;C2CD2;NLRP2;RBMS1;LINS1;
LCP2;SNX29;FES;C2CD2;FLVCR2;
SOS1;RPS6KA2;NFATC2IP;
ZNF234;ITIH4;DACH1;FES;DAPK1;
C2orf18;RAB43;
TRIM56;GIT2;NARFL;SOLH;
ITIH4;CCND1;IRF7;XAF1;REC8;
RNASEL;ITIH4;RAB27A;
CTDP1;CDC42SE1;GIT2;DACH1;NLRP2;PSMB8;
CCDC104;ITIH4;CCDC104;CCBL2;NLRP2;NFATC3;
PTGER2;GIT2;NLRP2;GBP1;
PVT1;CDC2L5;ELL2;
CXCR5;TNFAIP8L1;MIAT;
PRKX;RPS6KA5;CCBL2;LINS1;
RGPD1;C2CD2;SPIN1;RCSD1;SOLH;
MUC1;FES;
FAM184A;DHX58;
PCGF1;MRPL2;TMBIM1;SKAP1;GALNT10;
LRRC8A;ITIH4;SPSB1;TMBIM1;CCBL2;REC8;
GBP1;ITIH4;FAM184A;DHX58;
SAMD3;BMPR2;CCBL2;
GIT2;CDC42SE1;PSMB8;
PNPLA8;ITIH4;FES;RASA2;SPIN1;CNIH2;
IL10RA;SOCS3;HSH2D;MAFF;TNFAIP8L1;NR1D2;RCSD1;
PLCL1;TNFAIP8L1;LOC388681;TNFSF8;
DTNBP1;ITIH4;
SYT15;FIG4;TRIM39;C2CD2;
CDC2L5;GBP5;
MIAT;DACH1;CDC2L5;REC8;SOLH;
PSMB8;TRIM56;
REC8;CDC42SE1;ITIH4;SOLH;
PML;DACH1;NANOS3;
TMEM154;ITIH4;SNX29;SPIN1;RAB27A;GBP1;SIRT1;
FIG4;CCND1;
NIN;ITIH4;CCND1;CCBL2;ALG11;
SPSB1;FES;
TRIM39;NFATC3;
CCNYL1;TSPAN9;NLRP2;CDC2L5;
PIP3-E;ITIH4;
CCM2;ARID5A;NARFL;
SOLH;GBP5;ITIH4;GPR81;ZNF234;SOLH;
