B3GALNT1;PPFIBP1;CDCP1;SH2D2A;PYCR1;CD1A;
HOMER2;DAZL;CCL22;NFIL3;P4HA2;CDC42BPB;PDE7B;MTE;RCBTB2;
NAPSB;ANXA2;C21orf81;
NFATC3;GUCY1A3;PTGIR;CHP;CXCR6;
FZD9;PYCR1;C14orf149;
AMMECR1;HSD11B1;C10orf10;
MICAL2;P4HA2;LIPG;CYTL1;ECGF1;
PYCR1;NFIL3;TM7SF3;
MINA;CDCP1;
GNG11;CYTH3;
ELL3;ANKRD35;IL23R;PYCR1;
LARP6;EDARADD;CDCP1;TM7SF3;CTHRC1;
GIYD1;GCNT1;LOC646817;
DAZL;PC;PYCR1;
PPFIBP1;PSD3;KIT;APM-1;GGT1;C14orf149;
MYO5C;HOMER2;RGL2;
ID1;HOMER2;LOC441019;
HIST1H4H;PYCR1;TNFRSF10D;
ADCK4;TTLL1;ARHGAP23;
RGL1;LOC441241;FUT8;TERC;CXCR3;KCTD17;CHST3;
HAMP;KCNJ2;
CLIC5;STK11;LOC653598;ANO7;
IL22;GNG11;
PTPRR;HOMER2;GAD1;
C2CD2;CMPK2;OASL;
IL26;NPTX2;
PHF23;GAL;DUSP10;ZAK;RBPJ;
KIF14;KIAA0040;
CHP;AMMECR1;ROR1;
VLDLR;IL4;
SIPA1L2;HOMER2;
LRRC32;PYCR1;
C6orf48;CD1B;
NAT14;CDCP1;PYCR1;KCTD17;
FAM127B;PC;PYCR1;
PHEX;PYCR1;
PTMS;SIRPG;LOC653147;SIRT5;PYCR1;ALPK2;SIPA1L2;KCNJ2;
OSBPL10;C8orf13;TTLL1;SH2D2A;KCTD17;
PANX1;ING5;PLXNB1;
ING5;NFATC3;
UCHL1;DAZL;DEPDC1B;MB;SH2D2A;
TRIM6;CYTH3;
IMMP2L;RBL1;TTLL1;C17orf41;
LOC441019;ATP2B4;
RAC3;NFIL3;C21orf81;
TNFAIP8L3;C21orf81;
KIF1A;TMEM136;MCTP1;TAC1;
LMCD1;SPR;MTE;
ANKRD6;CYTH3;C1orf56;ME3;VLDLR;ANKRD6;C21orf81;
ZNF365;CCDC46;
EDARADD;HSD11B1;AMPH;
TEAD4;SIRT5;CXCR6;PTHLH;
C9orf9;HOMER2;
PARP3;CDCP1;PYCR1;RAC3;
LOC389203;SOCS3;C2CD2;
SFTPD;IL2;
ZDHHC13;CLECL1;SIRT5;FAR2;
SIRT5;HOMER2;PYCR1;
JOSD2;TEAD4;TUSC3;MSH5;IL17F;TNFAIP8L3;
ANO7;TIFA;PYCR1;
SYP;TERC;
RGMA;MCTP1;FOXP4;
CDCP1;DAZL;PSD3;ROR1;KLHL13;CXCR6;NPTX2;SIPA1L2;LARP6;ARHGAP23;
GAL;CCL22;KATNAL1;ANXA2;TIFA;SIRT5;
LOC729692;LINGO4;
BDH1;MGC27121;SGOL1;RAB23;LOXL3;
KIT;C12orf48;PYCR1;
PPARG;TMEM136;MTE;
ALDOB;ANXA2;CTDSP1;F2RL1;RCBTB2;LOC648470;
C17orf41;LOC441019;
OR3A4;MTE;
CHST3;PC;
CLECL1;DUSP10;
CXCR6;SIRT5;PYCR1;PDIA3P;
NKD2;NPAL1;SLC35D1;HOMER2;PHF23;COL6A1;PYCR1;C21orf121;PPAPDC1B;IL12RB2;
MGC29506;PC;LPCAT2;SIRT5;
LOC647322;SIPA1L2;NKD2;
PTCHD1;PHEX;C14orf149;
NFIL3;PACAP;PYCR1;C4BPB;ABCG1;
CXCR3;PYCR1;
LAIR2;UCHL1;NEIL3;FUT7;IL1R2;IL23R;PYCR1;RAB38;SPA17;MCOLN2;
IL12RB2;HVCN1;ROR1;TM7SF3;
NPDC1;ID1;
CCL22;SH2D2A;
GAD1;PC;PSD3;KCTD17;
ALDH4A1;HOMER2;
GSTA4;TMEM136;PYCR1;AMPH;MTE;
DHRS9;PC;
TTLL1;SIPA1L2;RAMP1;
LPCAT2;TSPAN13;PYCR1;SLC25A4;
F2RL1;MCTP1;SH2D2A;
TSR1;SYNGR3;
IL17F;PSD3;
RAMP1;PYCR1;TM7SF3;KIAA0040;
SAMD9L;SIPA1L2;
ANKRD35;ANXA2;PSEN2;AMPH;
TUSC3;CDCP1;GAD1;INA;
C1orf56;ALDH4A1;TMEM136;TAC1;
PROS1;KCTD17;C21orf81;
SIRPG;PC;TM7SF3;
LOXL3;NAPSB;PYCR1;
TM7SF3;HVCN1;PSD3;TAC1;KIAA0040;
RP11-529I10.4;ANXA2;AADACL1;
STK11;CALD1;
LOC730077;PC;TTLL1;TIFA;RGL2;
KIF5C;RGL2;MTE;
CDH1;SIRPG;
TUBB3;TIFA;ETV5;
MLSTD1;ANXA2;CXCR6;
NEK1;PC;ANXA2;CHEK2;NEK1;SCLY;
GGT1;HSD11B1;DAZL;ENDOGL1;PLAGL1;
MAP3K5;RBPJ;TM7SF3;KIAA0040;
GUCY1A3;AMPH;
SPINK2;C21orf81;
SHISA2;RGL2;
FOXP4;SYNE2;
MID1;PPFIBP1;AFAP1;MID1;ARHGAP23;
LOC644615;HIST1H4H;
C8orf13;CDCP1;GSTA4;C14orf149;
TMEM136;ALDH4A1;MAP7;SIRT5;AMPH;
CMPK2;CDCP1;
RAB38;B3GALNT1;PARD6A;JOSD2;RHPN2;
ROR1;CDCP1;
AMPH;MLSTD1;
ABCG1;PACAP;LOC441019;
ANKRD17;CYTH3;JAG2;SOCS3;LOC647322;PPFIBP1;
NDRG4;NDRG4;OAS2;PYCR1;
CNP;PYCR1;AMPH;
KLHL15;DUSP10;KIT;PYCR1;
HVCN1;BEX1;CDCP1;PYCR1;
PSEN2;DAZL;DHRS9;C6orf48;TAC1;RBPJ;
KLHL13;TTLL1;KCNJ2;
RASGRP4;RASD1;PYCR1;RCBTB2;
SOCS3;LARP6;MTE;
FUT8;EIF4EBP1;
FUT7;IL17F;PRR11;
MUSTN1;MUSTN1;TNFRSF10D;
CALD1;DAZL;PPFIBP1;LOC730077;KIAA0040;
TMEM22;CCDC46;CAMTA2;LRP11;
LOC653598;DAZL;PC;MCTP1;DUSP10;SIRT5;
FAM164A;KIT;PYCR1;C14orf149;
LOC642233;HOMER2;OAS3;TIFA;NPTX2;
TPR;PTMS;
EIF4EBP1;RGL2;GPR114;ARHGAP23;
CAMTA2;CXCL12;GAD1;ETHE1;MAP7;PYCR1;ALDOB;GPR114;
RHPN2;RYR1;NTRK3;KIT;
TAC1;PYCR1;TAC1;KCNJ2;
CD276;SIPA1L2;IL2;MTE;
EPHX2;ALDH4A1;DUSP10;PACAP;LOC441019;
ARHGAP27;GAD1;PYCR1;
LOC646817;NPDC1;LOC284293;CDCP1;AMPH;
IL2;HOMER2;PYCR1;KCTD17;GPR114;
ARHGAP23;MTE;
IL4;CIB2;
TP53I3;TMEM136;SH2D2A;KIAA0040;
ENDOGL1;PSD3;SIRT5;PYCR1;
AMACR;TERC;CXCR6;TSKU;
CXCL12;ANXA2;
P4HA2;PC;PYCR1;
CDK3;CDH1;PSME1;SIRT5;PYCR1;RGL2;ICOSLG;SYNE2;
KLRD1;CYTH3;B3GALNT1;
PLXNB1;ANXA2;PYCR1;
C21orf121;CABLES1;TAC1;
MTE;HOMER2;PSD3;GAS8;
LRP11;LOC390561;NHS;CD1C;
C14orf149;MICAL2;SIPA1L2;
BMPR2;HSD11B1;
MCTP1;NPTX2;SIPA1L2;
CCDC46;PYCR1;AMPH;NPTX2;SIPA1L2;ARHGAP23;
AFF3;CTAGE6;
SYNE2;SIRT5;PYCR1;AMPH;SHISA2;RCBTB2;C14orf149;
RBM3;PYCR1;
AP4M1;KLRD1;
DUSP10;SOCS3;PYCR1;KIAA0040;RCBTB2;
SGOL1;ANXA2;TUBB3;PPARG;
SPR;CYB5R2;C14orf149;
MB;SH2D2A;VLDLR;SIPA1L2;ASS1;
PSD3;ANXA2;TTLL1;RBPJ;
C15orf42;SFTPD;AMPH;ROR1;KCTD17;
DACT3;ANKRD17;MGC16121;DACT3;ARRB1;
ME3;ARHGAP23;
APM-1;LOC729486;HOMER2;SH2D2A;DIXDC1;PYCR1;
C10orf128;PC;HOMER2;LOC441019;PYCR1;ALDOB;
LOC648470;LINS1;
PTGIR;HOMER2;
EED;DUSP10;LPCAT2;GIYD1;C21orf81;
SYNGR3;TPR;GPR114;
ETV5;AP4M1;HOMER2;SIRT5;PYCR1;ADCK4;ZNF365;
C3orf34;HOMER2;
AIM2;TRIM6;
RBL1;CYB5R2;
IFNG;ALDH4A1;RPS6KA4;BDH1;EED;LAIR2;ARHGAP23;
CTDSP1;PYCR1;FLJ39639;MAP3K5;
OAS2;NFIL3;
CCDC74A;TMEM136;C1orf106;
OAS3;IFNG;SIRT5;
NUP50;FRAT1;MTUS1;XAF1;
COL6A1;C9orf9;TMEM22;IL17F;ELL3;
ANG;HOMER2;RCBTB2;
SLC25A4;CYTH3;TERC;SIRT5;RCBTB2;
INA;TP53I3;ALDOB;GPR114;
COL15A1;PROS1;KIT;PYCR1;AMPH;
FLJ14107;PYCR1;RBPJ;
PTHLH;RGL2;KIAA0040;
NCALD;MMP25;NUP50;SIRT5;NCALD;
DLL3;C14orf143;LOC441019;SIRT5;PYCR1;FNBP1L;DLL3;
SPG3A;NFIL3;TTLL1;LPCAT2;
CYTH3;SOCS3;IFNG;MINA;KIAA0040;
RASD1;CNP;FLJ14107;
PARD6A;C15orf42;
RAB23;CDR2L;RGL2;LOC644846;
TIFA;PANX1;SH2D2A;
NHS;ALDH4A1;KIT;ARHGAP23;
C10orf10;SAMD9L;LOC441019;SIPA1L2;OASL;
FSD1;CYB5R2;SIRPG;VLDLR;
C1orf106;TAC1;LARP6;
PDLIM7;HOMER2;
KCNJ2;PSD3;LOC441019;PYCR1;PLXNB1;AFF3;KCNJ2;
CTHRC1;CLIC5;SH2D2A;TIFA;SIRT5;KCTD17;ECGF1;
LINGO4;NCKAP1;AMACR;TERC;GAD1;TNFRSF10D;
SEPT11;IL2;
NTRK3;NTRK3;TSHZ2;PSEN2;PYCR1;AMPH;C10orf128;OSBPL10;SPG3A;ARHGAP23;
HAGHL;PDLIM7;
CABLES1;ANLN;COL15A1;CCDC74A;NPTX2;
CDC42BPB;PTPRR;GPR114;
PDIA3P;RGL2;CD276;
ASS1;ROR1;ARHGAP27;
DLK2;PC;IFNG;MTE;
DHODH;PC;CDCP1;SYP;TM7SF3;DHODH;
LOC284293;SPINK2;PACAP;CHST3;
PC;PYCR1;
TSPAN13;PC;
LOC653147;LOC389203;PYCR1;AMPH;OR3A4;GPR114;
CDR2L;SOCS3;LOC441019;
SCLY;CDCP1;TAC1;FAM127B;NAT14;
PDE7B;EPHX2;
